Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"FDI","Foreign Direct Investment (FDI)","41","China, mainland","6110","Value US$","23082","Total FDI inflows","2016","2016","millions","133711","X","International reliable sources","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","41","China, mainland","6110","Value US$","23082","Total FDI inflows","2017","2017","millions","136315","X","International reliable sources","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","41","China, mainland","6110","Value US$","23082","Total FDI inflows","2018","2018","millions","138305","X","International reliable sources","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","214","China, Taiwan Province of","6110","Value US$","23082","Total FDI inflows","2016","2016","millions","9692","X","International reliable sources","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","214","China, Taiwan Province of","6110","Value US$","23082","Total FDI inflows","2017","2017","millions","3401","X","International reliable sources","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","214","China, Taiwan Province of","6110","Value US$","23082","Total FDI inflows","2018","2018","millions","7114","X","International reliable sources","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","44","Colombia","6110","Value US$","23082","Total FDI inflows","2016","2016","millions","13848","X","International reliable sources","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","44","Colombia","6110","Value US$","23082","Total FDI inflows","2017","2017","millions","13836.696227","X","International reliable sources","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","44","Colombia","6110","Value US$","23082","Total FDI inflows","2018","2018","millions","11535.119873","X","International reliable sources","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","45","Comoros","6110","Value US$","23082","Total FDI inflows","2016","2016","millions","3.569824","X","International reliable sources","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","45","Comoros","6110","Value US$","23082","Total FDI inflows","2017","2017","millions","3.919473","X","International reliable sources","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","45","Comoros","6110","Value US$","23082","Total FDI inflows","2018","2018","millions","5.672348","X","International reliable sources","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","46","Congo","6110","Value US$","23082","Total FDI inflows","2016","2016","millions","1611.618196","X","International reliable sources","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","46","Congo","6110","Value US$","23082","Total FDI inflows","2017","2017","millions","4416.953734","X","International reliable sources","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","46","Congo","6110","Value US$","23082","Total FDI inflows","2018","2018","millions","4315.250918","X","International reliable sources","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","47","Cook Islands","6110","Value US$","23082","Total FDI inflows","2016","2016","millions","10.463203","X","International reliable sources","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","47","Cook Islands","6110","Value US$","23082","Total FDI inflows","2017","2017","millions","1.918641","X","International reliable sources","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","47","Cook Islands","6110","Value US$","23082","Total FDI inflows","2018","2018","millions","11.558709","X","International reliable sources","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","48","Costa Rica","6110","Value US$","23082","Total FDI inflows","2016","2016","millions","2203.948381","X","International reliable sources","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","48","Costa Rica","6110","Value US$","23082","Total FDI inflows","2017","2017","millions","2778.314023","X","International reliable sources","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","48","Costa Rica","6110","Value US$","23082","Total FDI inflows","2018","2018","millions","2336.535228","X","International reliable sources","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","107","C?te d'Ivoire","6110","Value US$","23082","Total FDI inflows","2016","2016","millions","577.871519","X","International reliable sources","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","107","C?te d'Ivoire","6110","Value US$","23082","Total FDI inflows","2017","2017","millions","975.014998","X","International reliable sources","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","107","C?te d'Ivoire","6110","Value US$","23082","Total FDI inflows","2018","2018","millions","620.330646","X","International reliable sources","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","98","Croatia","6110","Value US$","23082","Total FDI inflows","2016","2016","millions","273.228399","X","International reliable sources","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","98","Croatia","6110","Value US$","23082","Total FDI inflows","2017","2017","millions","539.709222","X","International reliable sources","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","98","Croatia","6110","Value US$","23082","Total FDI inflows","2018","2018","millions","1171.461739","X","International reliable sources","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","279","Cura?ao","6110","Value US$","23082","Total FDI inflows","2016","2016","millions","133.046405","X","International reliable sources","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","279","Cura?ao","6110","Value US$","23082","Total FDI inflows","2017","2017","millions","172.678986","X","International reliable sources","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","279","Cura?ao","6110","Value US$","23082","Total FDI inflows","2018","2018","millions","126.888268","X","International reliable sources","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","50","Cyprus","6110","Value US$","23082","Total FDI inflows","2016","2016","millions","10928.262602","X","International reliable sources","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","50","Cyprus","6110","Value US$","23082","Total FDI inflows","2017","2017","millions","9422.629933","X","International reliable sources","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","50","Cyprus","6110","Value US$","23082","Total FDI inflows","2018","2018","millions","-1735.267119","X","International reliable sources","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","167","Czechia","6110","Value US$","23082","Total FDI inflows","2016","2016","millions","9814.76887","X","International reliable sources","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","167","Czechia","6110","Value US$","23082","Total FDI inflows","2017","2017","millions","9521.682018","X","International reliable sources","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","167","Czechia","6110","Value US$","23082","Total FDI inflows","2018","2018","millions","11010.36396","X","International reliable sources","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","116","Democratic People's Republic of Korea","6110","Value US$","23082","Total FDI inflows","2016","2016","millions","89.317272","X","International reliable sources","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","116","Democratic People's Republic of Korea","6110","Value US$","23082","Total FDI inflows","2017","2017","millions","-12.832422","X","International reliable sources","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","116","Democratic People's Republic of Korea","6110","Value US$","23082","Total FDI inflows","2018","2018","millions","1.953529","X","International reliable sources","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","250","Democratic Republic of the Congo","6110","Value US$","23082","Total FDI inflows","2016","2016","millions","1204.708617","X","International reliable sources","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","250","Democratic Republic of the Congo","6110","Value US$","23082","Total FDI inflows","2017","2017","millions","1340.204101","X","International reliable sources","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","250","Democratic Republic of the Congo","6110","Value US$","23082","Total FDI inflows","2018","2018","millions","1616.794884","X","International reliable sources","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","54","Denmark","6110","Value US$","23082","Total FDI inflows","2016","2016","millions","235.303904","X","International reliable sources","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","54","Denmark","6110","Value US$","23082","Total FDI inflows","2017","2017","millions","3748.81302","X","International reliable sources","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","54","Denmark","6110","Value US$","23082","Total FDI inflows","2018","2018","millions","1198.488777","X","International reliable sources","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","72","Djibouti","6110","Value US$","23082","Total FDI inflows","2016","2016","millions","159.998875","X","International reliable sources","UNCTAD"
