Domain Code,Domain,Area Code (FAO),Area,ISO Currency Code (FAO),Currency,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
PE,Exchange rates - Annual,35,Cabo Verde,CVE,Cabo Verde Escudo,5540,Standard local currency units per USD,2016,2016,,99.68795356,X,International reliable sources,Data from UNSD AMA
PE,Exchange rates - Annual,35,Cabo Verde,CVE,Cabo Verde Escudo,5540,Standard local currency units per USD,2017,2017,,97.80693777,X,International reliable sources,Data from UNSD AMA
PE,Exchange rates - Annual,35,Cabo Verde,CVE,Cabo Verde Escudo,5540,Standard local currency units per USD,2018,2018,,93.41357891,X,International reliable sources,Data from UNSD AMA
PE,Exchange rates - Annual,115,Cambodia,KHR,Riel,5540,Standard local currency units per USD,2016,2016,,4058.694579,X,International reliable sources,Data from UNSD AMA
PE,Exchange rates - Annual,115,Cambodia,KHR,Riel,5540,Standard local currency units per USD,2017,2017,,4050.579986,X,International reliable sources,Data from UNSD AMA
PE,Exchange rates - Annual,115,Cambodia,KHR,Riel,5540,Standard local currency units per USD,2018,2018,,4051.1669,X,International reliable sources,Data from UNSD AMA
PE,Exchange rates - Annual,32,Cameroon,XAF,CFA Franc BEAC,5540,Standard local currency units per USD,2016,2016,,592.6056151,X,International reliable sources,Data from UNSD AMA
PE,Exchange rates - Annual,32,Cameroon,XAF,CFA Franc BEAC,5540,Standard local currency units per USD,2017,2017,,580.6567496,X,International reliable sources,Data from UNSD AMA
PE,Exchange rates - Annual,32,Cameroon,XAF,CFA Franc BEAC,5540,Standard local currency units per USD,2018,2018,,555.4464584,X,International reliable sources,Data from UNSD AMA
PE,Exchange rates - Annual,33,Canada,CAD,Canadian Dollar,5540,Standard local currency units per USD,2016,2016,,1.325399636,X,International reliable sources,Data from UNSD AMA
PE,Exchange rates - Annual,33,Canada,CAD,Canadian Dollar,5540,Standard local currency units per USD,2017,2017,,1.297736517,X,International reliable sources,Data from UNSD AMA
PE,Exchange rates - Annual,33,Canada,CAD,Canadian Dollar,5540,Standard local currency units per USD,2018,2018,,1.295755074,X,International reliable sources,Data from UNSD AMA
PE,Exchange rates - Annual,36,Cayman Islands,KYD,Cayman Islands Dollar,5540,Standard local currency units per USD,2016,2016,,0.82,X,International reliable sources,Data from UNSD AMA
PE,Exchange rates - Annual,36,Cayman Islands,KYD,Cayman Islands Dollar,5540,Standard local currency units per USD,2017,2017,,0.82,X,International reliable sources,Data from UNSD AMA
PE,Exchange rates - Annual,36,Cayman Islands,KYD,Cayman Islands Dollar,5540,Standard local currency units per USD,2018,2018,,0.83333,X,International reliable sources,Data from UNSD AMA
PE,Exchange rates - Annual,37,Central African Republic,XAF,CFA Franc BEAC,5540,Standard local currency units per USD,2016,2016,,592.6056151,X,International reliable sources,Data from UNSD AMA
PE,Exchange rates - Annual,37,Central African Republic,XAF,CFA Franc BEAC,5540,Standard local currency units per USD,2017,2017,,580.6567496,X,International reliable sources,Data from UNSD AMA
PE,Exchange rates - Annual,37,Central African Republic,XAF,CFA Franc BEAC,5540,Standard local currency units per USD,2018,2018,,555.4464584,X,International reliable sources,Data from UNSD AMA
PE,Exchange rates - Annual,39,Chad,XAF,CFA Franc BEAC,5540,Standard local currency units per USD,2016,2016,,592.6056151,X,International reliable sources,Data from UNSD AMA
PE,Exchange rates - Annual,39,Chad,XAF,CFA Franc BEAC,5540,Standard local currency units per USD,2017,2017,,580.6567496,X,International reliable sources,Data from UNSD AMA
PE,Exchange rates - Annual,39,Chad,XAF,CFA Franc BEAC,5540,Standard local currency units per USD,2018,2018,,555.4464584,X,International reliable sources,Data from UNSD AMA
PE,Exchange rates - Annual,40,Chile,CLP,Chilean Peso,5540,Standard local currency units per USD,2016,2016,,676.957736,X,International reliable sources,Data from UNSD AMA
PE,Exchange rates - Annual,40,Chile,CLP,Chilean Peso,5540,Standard local currency units per USD,2017,2017,,648.8337926,X,International reliable sources,Data from UNSD AMA
PE,Exchange rates - Annual,40,Chile,CLP,Chilean Peso,5540,Standard local currency units per USD,2018,2018,,641.2768131,X,International reliable sources,Data from UNSD AMA
PE,Exchange rates - Annual,96,"China, Hong Kong SAR",HKD,Hong Kong Dollar,5540,Standard local currency units per USD,2016,2016,,7.76225,X,International reliable sources,Data from UNSD AMA
PE,Exchange rates - Annual,96,"China, Hong Kong SAR",HKD,Hong Kong Dollar,5540,Standard local currency units per USD,2017,2017,,7.79325,X,International reliable sources,Data from UNSD AMA
PE,Exchange rates - Annual,96,"China, Hong Kong SAR",HKD,Hong Kong Dollar,5540,Standard local currency units per USD,2018,2018,,7.8385,X,International reliable sources,Data from UNSD AMA
PE,Exchange rates - Annual,128,"China, Macao SAR",MOP,Pataca,5540,Standard local currency units per USD,2016,2016,,7.99506425,X,International reliable sources,Data from UNSD AMA
PE,Exchange rates - Annual,128,"China, Macao SAR",MOP,Pataca,5540,Standard local currency units per USD,2017,2017,,8.026001,X,International reliable sources,Data from UNSD AMA
PE,Exchange rates - Annual,128,"China, Macao SAR",MOP,Pataca,5540,Standard local currency units per USD,2018,2018,,8.072507417,X,International reliable sources,Data from UNSD AMA
PE,Exchange rates - Annual,41,"China, mainland",CNY,Yuan Renminbi,5540,Standard local currency units per USD,2016,2016,,6.644477829,X,International reliable sources,Data from UNSD AMA
PE,Exchange rates - Annual,41,"China, mainland",CNY,Yuan Renminbi,5540,Standard local currency units per USD,2017,2017,,6.758755086,X,International reliable sources,Data from UNSD AMA
PE,Exchange rates - Annual,41,"China, mainland",CNY,Yuan Renminbi,5540,Standard local currency units per USD,2018,2018,,6.615957177,X,International reliable sources,Data from UNSD AMA
PE,Exchange rates - Annual,44,Colombia,COP,Colombian Peso,5540,Standard local currency units per USD,2016,2016,,3054.121673,X,International reliable sources,Data from UNSD AMA
PE,Exchange rates - Annual,44,Colombia,COP,Colombian Peso,5540,Standard local currency units per USD,2017,2017,,2951.327402,X,International reliable sources,Data from UNSD AMA
PE,Exchange rates - Annual,44,Colombia,COP,Colombian Peso,5540,Standard local currency units per USD,2018,2018,,2955.70397,X,International reliable sources,Data from UNSD AMA
PE,Exchange rates - Annual,45,Comoros,KMF,Comoro Franc,5540,Standard local currency units per USD,2016,2016,,444.7563538,X,International reliable sources,Data from UNSD AMA
PE,Exchange rates - Annual,45,Comoros,KMF,Comoro Franc,5540,Standard local currency units per USD,2017,2017,,435.4925622,X,International reliable sources,Data from UNSD AMA
PE,Exchange rates - Annual,45,Comoros,KMF,Comoro Franc,5540,Standard local currency units per USD,2018,2018,,416.5848438,X,International reliable sources,Data from UNSD AMA
PE,Exchange rates - Annual,46,Congo,XAF,CFA Franc BEAC,5540,Standard local currency units per USD,2016,2016,,592.6056151,X,International reliable sources,Data from UNSD AMA
PE,Exchange rates - Annual,46,Congo,XAF,CFA Franc BEAC,5540,Standard local currency units per USD,2017,2017,,580.6567496,X,International reliable sources,Data from UNSD AMA
PE,Exchange rates - Annual,46,Congo,XAF,CFA Franc BEAC,5540,Standard local currency units per USD,2018,2018,,555.4464584,X,International reliable sources,Data from UNSD AMA
PE,Exchange rates - Annual,47,Cook Islands,NZD,New Zealand Dollar,5540,Standard local currency units per USD,2016,2016,,1.436525,X,International reliable sources,Data from UNSD AMA
PE,Exchange rates - Annual,47,Cook Islands,NZD,New Zealand Dollar,5540,Standard local currency units per USD,2017,2017,,1.407408333,X,International reliable sources,Data from UNSD AMA
PE,Exchange rates - Annual,47,Cook Islands,NZD,New Zealand Dollar,5540,Standard local currency units per USD,2018,2018,,1.445258333,X,International reliable sources,Data from UNSD AMA
PE,Exchange rates - Annual,48,Costa Rica,CRC,Costa Rican Colon,5540,Standard local currency units per USD,2016,2016,,544.7393672,X,International reliable sources,Data from UNSD AMA
PE,Exchange rates - Annual,48,Costa Rica,CRC,Costa Rican Colon,5540,Standard local currency units per USD,2017,2017,,567.5130903,X,International reliable sources,Data from UNSD AMA
PE,Exchange rates - Annual,48,Costa Rica,CRC,Costa Rican Colon,5540,Standard local currency units per USD,2018,2018,,576.9725013,X,International reliable sources,Data from UNSD AMA
PE,Exchange rates - Annual,107,C?te d'Ivoire,XOF,CFA Franc BCEAO,5540,Standard local currency units per USD,2016,2016,,592.6056151,X,International reliable sources,Data from UNSD AMA
PE,Exchange rates - Annual,107,C?te d'Ivoire,XOF,CFA Franc BCEAO,5540,Standard local currency units per USD,2017,2017,,580.6567496,X,International reliable sources,Data from UNSD AMA
PE,Exchange rates - Annual,107,C?te d'Ivoire,XOF,CFA Franc BCEAO,5540,Standard local currency units per USD,2018,2018,,555.4464584,X,International reliable sources,Data from UNSD AMA
PE,Exchange rates - Annual,98,Croatia,HRK,Kuna,5540,Standard local currency units per USD,2016,2016,,6.805990167,X,International reliable sources,Data from UNSD AMA
PE,Exchange rates - Annual,98,Croatia,HRK,Kuna,5540,Standard local currency units per USD,2017,2017,,6.623831,X,International reliable sources,Data from UNSD AMA
PE,Exchange rates - Annual,98,Croatia,HRK,Kuna,5540,Standard local currency units per USD,2018,2018,,6.27902525,X,International reliable sources,Data from UNSD AMA
PE,Exchange rates - Annual,49,Cuba,CUP,Cuban Peso,5540,Standard local currency units per USD,2016,2016,,1,X,International reliable sources,Data from UNSD AMA
PE,Exchange rates - Annual,49,Cuba,CUP,Cuban Peso,5540,Standard local currency units per USD,2017,2017,,1,X,International reliable sources,Data from UNSD AMA
PE,Exchange rates - Annual,49,Cuba,CUP,Cuban Peso,5540,Standard local currency units per USD,2018,2018,,1,X,International reliable sources,Data from UNSD AMA
PE,Exchange rates - Annual,279,Cura?ao,ANG,Netherlands Antillean Guilder,5540,Standard local currency units per USD,2016,2016,,1.79,X,International reliable sources,Data from UNSD AMA
PE,Exchange rates - Annual,279,Cura?ao,ANG,Netherlands Antillean Guilder,5540,Standard local currency units per USD,2017,2017,,1.79,X,International reliable sources,Data from UNSD AMA
PE,Exchange rates - Annual,279,Cura?ao,ANG,Netherlands Antillean Guilder,5540,Standard local currency units per USD,2018,2018,,1.79,X,International reliable sources,Data from UNSD AMA
PE,Exchange rates - Annual,50,Cyprus,EUR,Euro,5540,Standard local currency units per USD,2016,2016,,0.904035128,X,International reliable sources,Data from UNSD AMA
PE,Exchange rates - Annual,50,Cyprus,EUR,Euro,5540,Standard local currency units per USD,2017,2017,,0.885205508,X,International reliable sources,Data from UNSD AMA
PE,Exchange rates - Annual,50,Cyprus,EUR,Euro,5540,Standard local currency units per USD,2018,2018,,0.846772667,X,International reliable sources,Data from UNSD AMA
PE,Exchange rates - Annual,167,Czechia,CZK,Czech Koruna,5540,Standard local currency units per USD,2016,2016,,24.43991667,X,International reliable sources,Data from UNSD AMA
PE,Exchange rates - Annual,167,Czechia,CZK,Czech Koruna,5540,Standard local currency units per USD,2017,2017,,23.37633333,X,International reliable sources,Data from UNSD AMA
